timestamp,lat,lng,address,pm25,pm10,no2,o3,co,so2,aqi,ph,turbidity,conductivity,dissolved_oxygen,temperature,soil_ph,organic_matter,nitrogen,phosphorus,potassium,lead,cadmium,mercury,arsenic,chromium,day_noise,night_noise,peak_noise,equivalent_noise,biodiversity_index,green_coverage,air_pollution_index,water_pollution_index,soil_contamination_index,overall_health_score
2025-06-10T15:04:15.823557,43.869827,-98.39387,Sample Location 6,15.8,35.1,22.7,62.4,2.02,8.6,89.0,6.92,0.29,778.0,11.5,24.9,6.01,3.09,22.7,23.2,76.5,9.11,0.83,0.54,0.68,7.8,49.6,42.3,74.4,51.9,0.52,39.7,44.8,37.4,30.4,65.8
2025-06-10T17:04:15.823557,42.821909,-78.34632,Sample Location 91,17.0,14.2,44.5,51.7,0.92,5.2,48.0,8.41,3.9,665.0,9.5,15.7,6.01,4.06,40.0,17.3,183.8,8.6,1.94,0.24,4.98,5.79,48.5,47.1,73.3,52.1,0.55,36.3,64.9,51.9,37.4,76.8
2025-06-10T19:04:15.823557,28.755557,-114.691424,Sample Location 5,27.4,31.2,19.3,21.5,1.12,12.2,77.0,7.99,3.82,240.0,8.5,24.4,6.52,3.77,29.7,23.0,173.8,6.53,1.85,0.46,1.95,7.54,57.4,46.3,78.8,69.4,0.44,15.2,45.4,35.3,18.6,54.6
2025-06-10T21:04:15.823557,33.402616,-109.123919,Sample Location 44,15.8,27.5,24.8,78.0,0.84,4.6,73.0,7.97,0.63,429.0,6.3,23.4,6.72,1.88,16.3,5.7,124.8,6.34,1.21,0.46,3.57,9.97,64.5,37.4,61.4,54.0,0.49,37.5,78.2,20.7,5.7,84.2
2025-06-10T23:04:15.823557,45.384867,-81.527921,Sample Location 28,18.3,36.6,35.9,76.6,1.23,12.9,93.0,7.95,4.64,346.0,10.6,18.7,7.1,4.23,49.2,22.0,91.5,5.4,0.56,0.06,2.84,2.6,50.2,50.0,69.2,64.4,0.32,25.3,55.3,45.9,23.0,55.4
2025-06-11T01:04:15.823557,36.722494,-102.606896,Sample Location 72,10.2,44.8,48.6,22.6,2.25,5.9,53.0,7.71,0.93,601.0,9.6,23.7,6.07,4.3,25.4,7.2,65.8,7.46,1.14,0.1,1.79,3.37,51.1,48.3,73.2,69.9,0.72,17.7,56.9,30.1,36.7,88.2
2025-06-11T03:04:15.823557,32.180718,-91.681086,Sample Location 20,25.8,55.1,29.5,23.2,2.46,8.1,62.0,7.09,2.96,685.0,11.9,16.8,7.39,1.44,24.2,16.3,194.7,5.58,0.7,0.62,0.36,9.86,53.2,42.4,75.4,62.2,0.42,34.3,76.3,26.4,19.7,67.3
2025-06-11T05:04:15.823557,36.830035,-73.302265,Sample Location 75,12.5,14.5,21.8,70.9,0.61,10.4,45.0,8.43,3.62,599.0,6.0,19.3,6.95,4.85,41.5,12.3,187.8,7.54,1.84,0.58,3.27,10.35,53.9,49.5,70.0,58.9,0.5,21.4,72.8,34.7,37.9,51.9
2025-06-11T07:04:15.823557,33.234906,-89.77766,Sample Location 9,28.6,29.4,38.4,74.8,2.92,2.9,40.0,7.64,0.12,218.0,9.8,18.7,6.99,4.84,37.0,22.6,73.8,5.74,1.85,0.55,1.57,2.24,47.8,39.0,68.7,67.5,0.45,11.8,32.9,33.8,11.1,69.4
2025-06-11T09:04:15.823557,31.026036,-74.957359,Sample Location 69,30.4,26.6,38.7,74.3,0.81,8.1,95.0,8.14,4.24,322.0,11.2,20.2,6.54,2.7,22.5,17.2,123.6,3.26,0.09,0.05,3.42,14.18,49.0,47.5,69.7,52.3,0.7,26.8,64.0,27.9,20.5,58.9
2025-06-11T11:04:15.823557,34.612534,-97.888705,Sample Location 90,15.6,55.7,27.7,51.1,0.56,4.3,45.0,8.0,0.53,256.0,11.7,19.9,7.28,1.65,33.0,14.4,75.0,3.22,0.55,0.53,0.62,8.88,58.9,50.5,64.8,65.0,0.4,25.2,55.9,37.2,24.3,51.7
2025-06-11T13:04:15.823557,47.181313,-93.70855,Sample Location 32,15.2,10.8,14.5,28.9,0.65,4.1,99.0,6.82,2.08,567.0,6.1,16.3,7.01,2.0,48.9,10.2,194.5,4.92,0.46,0.82,3.05,3.69,57.1,47.1,70.4,55.2,0.57,34.1,22.3,33.3,7.3,87.2
2025-06-11T15:04:15.823557,26.187967,-73.083802,Sample Location 63,32.5,15.5,35.1,75.5,2.76,2.2,70.0,6.76,0.67,721.0,8.6,17.9,6.1,2.24,11.0,10.8,132.2,4.67,1.13,0.39,4.21,12.45,57.2,50.4,73.6,66.0,0.4,15.9,71.2,18.7,29.4,64.7
2025-06-11T17:04:15.823557,29.760237,-85.833158,Sample Location 88,18.5,44.6,46.0,73.3,2.64,13.7,91.0,6.95,4.73,266.0,9.4,18.9,6.78,2.18,46.6,8.6,185.3,1.76,0.27,0.22,4.66,1.97,53.8,46.1,71.1,67.2,0.69,27.2,71.9,11.8,21.1,86.1
2025-06-11T19:04:15.823557,44.949465,-93.684613,Sample Location 22,19.3,59.1,22.7,59.9,1.54,6.7,41.0,7.83,3.94,511.0,9.7,20.2,6.69,4.28,26.4,21.9,133.9,4.57,0.66,0.44,1.29,7.43,60.5,52.8,70.9,58.1,0.56,12.3,75.2,40.3,34.6,72.9
2025-06-11T21:04:15.823557,47.281756,-113.539731,Sample Location 93,32.9,55.0,44.4,49.7,1.69,13.2,54.0,7.96,0.6,205.0,10.2,24.9,6.57,4.74,30.4,11.5,132.0,5.38,0.3,0.3,4.16,12.39,51.8,41.5,64.8,61.1,0.79,26.0,28.1,32.0,11.8,80.6
2025-06-11T23:04:15.823557,45.073613,-106.282485,Sample Location 92,11.9,52.3,20.3,53.4,0.74,5.9,53.0,7.74,2.36,634.0,8.0,18.6,6.22,3.57,31.3,18.0,80.2,5.78,1.86,0.13,0.4,13.54,53.9,50.2,70.2,62.0,0.78,33.5,29.7,48.7,17.9,50.2
